NAME_EN,vote
Afghanistan,IN FAVOR
Albania,IN FAVOR
Andorra,IN FAVOR
Antigua and Barbuda,IN FAVOR
Argentina,IN FAVOR
Australia,IN FAVOR
Austria,IN FAVOR
Bahamas,IN FAVOR
Bahrain,IN FAVOR
Barbados,IN FAVOR
Belgium,IN FAVOR
Belize,IN FAVOR
Benin,IN FAVOR
Bhutan,IN FAVOR
Bosnia and Herzegovina,IN FAVOR
Botswana,IN FAVOR
Brazil,IN FAVOR
Brunei,IN FAVOR
Bulgaria,IN FAVOR
Cambodia,IN FAVOR
Canada,IN FAVOR
Cape Verde,IN FAVOR
Chad,IN FAVOR
Chile,IN FAVOR
Colombia,IN FAVOR
Comoros,IN FAVOR
Costa Rica,IN FAVOR
Côte d'Ivoire,IN FAVOR
Croatia,IN FAVOR
Cyprus,IN FAVOR
Czech Republic,IN FAVOR
Democratic Republic of the Congo,IN FAVOR
Denmark,IN FAVOR
Djibouti,IN FAVOR
Dominica,IN FAVOR
Dominican Republic,IN FAVOR
Ecuador,IN FAVOR
Egypt,IN FAVOR
Estonia,IN FAVOR
Fiji,IN FAVOR
Finland,IN FAVOR
France,IN FAVOR
Gabon,IN FAVOR
Gambia,IN FAVOR
Georgia,IN FAVOR
Germany,IN FAVOR
Ghana,IN FAVOR
Greece,IN FAVOR
Grenada,IN FAVOR
Guatemala,IN FAVOR
Guyana,IN FAVOR
Haiti,IN FAVOR
Honduras,IN FAVOR
Hungary,IN FAVOR
Iceland,IN FAVOR
Indonesia,IN FAVOR
Ireland,IN FAVOR
Israel,IN FAVOR
Italy,IN FAVOR
Jamaica,IN FAVOR
Japan,IN FAVOR
Jordan,IN FAVOR
Kenya,IN FAVOR
Kiribati,IN FAVOR
Kuwait,IN FAVOR
Latvia,IN FAVOR
Lebanon,IN FAVOR
Lesotho,IN FAVOR
Liberia,IN FAVOR
Libya,IN FAVOR
Liechtenstein,IN FAVOR
Lithuania,IN FAVOR
Luxembourg,IN FAVOR
Malawi,IN FAVOR
Malaysia,IN FAVOR
Maldives,IN FAVOR
Malta,IN FAVOR
Marshall Islands,IN FAVOR
Mauritania,IN FAVOR
Mauritius,IN FAVOR
Mexico,IN FAVOR
Micronesia,IN FAVOR
Moldova,IN FAVOR
Monaco,IN FAVOR
Montenegro,IN FAVOR
Myanmar,IN FAVOR
Nauru,IN FAVOR
Nepal,IN FAVOR
Netherlands,IN FAVOR
New Zealand,IN FAVOR
Niger,IN FAVOR
Nigeria,IN FAVOR
North Macedonia,IN FAVOR
Norway,IN FAVOR
Oman,IN FAVOR
Palau,IN FAVOR
Panama,IN FAVOR
Papua New Guinea,IN FAVOR
Paraguay,IN FAVOR
Peru,IN FAVOR
Philippines,IN FAVOR
Poland,IN FAVOR
Portugal,IN FAVOR
Qatar,IN FAVOR
South Korea,IN FAVOR
Romania,IN FAVOR
Rwanda,IN FAVOR
Saint Kitts and Nevis,IN FAVOR
Saint Lucia,IN FAVOR
Saint Vincent and the Grenadines,IN FAVOR
Samoa,IN FAVOR
San Marino,IN FAVOR
São Tomé and Príncipe,IN FAVOR
Saudi Arabia,IN FAVOR
Serbia,IN FAVOR
Seychelles,IN FAVOR
Sierra Leone,IN FAVOR
Singapore,IN FAVOR
Slovakia,IN FAVOR
Slovenia,IN FAVOR
Solomon Islands,IN FAVOR
Somalia,IN FAVOR
Spain,IN FAVOR
Suriname,IN FAVOR
Sweden,IN FAVOR
Switzerland,IN FAVOR
Thailand,IN FAVOR
Timor-Leste,IN FAVOR
Tonga,IN FAVOR
Trinidad and Tobago,IN FAVOR
Tunisia,IN FAVOR
Turkey,IN FAVOR
Tuvalu,IN FAVOR
Ukraine,IN FAVOR
United Arab Emirates,IN FAVOR
England,IN FAVOR
Northern Ireland,IN FAVOR
Wales,IN FAVOR
Scotland,IN FAVOR
United States of America,IN FAVOR
Uruguay,IN FAVOR
Vanuatu,IN FAVOR
Yemen,IN FAVOR
Zambia,IN FAVOR
Belarus,AGAINST
Eritrea,AGAINST
North Korea,AGAINST
Russia,AGAINST
Syria,AGAINST
Algeria,ABSTENTION
Angola,ABSTENTION
Armenia,ABSTENTION
Bangladesh,ABSTENTION
Bolivia,ABSTENTION
Burundi,ABSTENTION
Central African Republic,ABSTENTION
China,ABSTENTION
Congo,ABSTENTION
Cuba,ABSTENTION
El Salvador,ABSTENTION
Equatorial Guinea,ABSTENTION
India,ABSTENTION
Iran,ABSTENTION
Iraq,ABSTENTION
Kazakhstan,ABSTENTION
Kyrgyzstan,ABSTENTION
Laos,ABSTENTION
Madagascar,ABSTENTION
Mali,ABSTENTION
Mongolia,ABSTENTION
Mozambique,ABSTENTION
Namibia,ABSTENTION
Nicaragua,ABSTENTION
Pakistan,ABSTENTION
Senegal,ABSTENTION
South Africa,ABSTENTION
South Sudan,ABSTENTION
Sri Lanka,ABSTENTION
Sudan,ABSTENTION
Tajikistan,ABSTENTION
Tanzania,ABSTENTION
Uganda,ABSTENTION
Vietnam,ABSTENTION
Zimbabwe,ABSTENTION
